Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,Alberta,All paper fibres,All sources of diverted materials,48,254955.0
2020,Alberta,All paper fibres,All sources of diverted materials,48,269325.0
2018,Alberta,All paper fibres,Residential sources of diverted materials,48,140097.0
2020,Alberta,All paper fibres,Residential sources of diverted materials,48,49336.0
2018,Alberta,All paper fibres,Non-residential sources of diverted materials,48,114858.0
2020,Alberta,All paper fibres,Non-residential sources of diverted materials,48,219989.0
2018,Alberta,Glass,All sources of diverted materials,48,68952.0
2020,Alberta,Glass,All sources of diverted materials,48,63473.0
2018,Alberta,Glass,Residential sources of diverted materials,48,63136.0
2020,Alberta,Glass,Residential sources of diverted materials,48,49526.0
2018,Alberta,Glass,Non-residential sources of diverted materials,48,5816.0
2020,Alberta,Glass,Non-residential sources of diverted materials,48,13947.0
2018,Alberta,Ferrous metals,All sources of diverted materials,48,40108.0
2020,Alberta,Ferrous metals,All sources of diverted materials,48,54760.0
2018,Alberta,Ferrous metals,Residential sources of diverted materials,48,5535.0
2020,Alberta,Ferrous metals,Residential sources of diverted materials,48,2727.0
2018,Alberta,Ferrous metals,Non-residential sources of diverted materials,48,34573.0
2020,Alberta,Ferrous metals,Non-residential sources of diverted materials,48,52034.0
2018,Alberta,Copper and aluminum,All sources of diverted materials,48,17439.0
2020,Alberta,Copper and aluminum,All sources of diverted materials,48,19866.0
2018,Alberta,Copper and aluminum,Residential sources of diverted materials,48,12945.0
2020,Alberta,Copper and aluminum,Residential sources of diverted materials,48,15591.0
2018,Alberta,Copper and aluminum,Non-residential sources of diverted materials,48,4494.0
2020,Alberta,Copper and aluminum,Non-residential sources of diverted materials,48,4275.0
2018,Alberta,Mixed metals,All sources of diverted materials,48,13180.0
2020,Alberta,Mixed metals,All sources of diverted materials,48,19036.0
2018,Alberta,Mixed metals,Residential sources of diverted materials,48,6397.0
2020,Alberta,Mixed metals,Residential sources of diverted materials,48,6290.0
2018,Alberta,Mixed metals,Non-residential sources of diverted materials,48,6783.0
2020,Alberta,Mixed metals,Non-residential sources of diverted materials,48,12745.0
2018,Alberta,White goods,All sources of diverted materials,48,13842.0
2020,Alberta,White goods,All sources of diverted materials,48,14557.0
2018,Alberta,White goods,Residential sources of diverted materials,48,9866.0
2020,Alberta,White goods,Residential sources of diverted materials,48,10900.0
2018,Alberta,White goods,Non-residential sources of diverted materials,48,3976.0
2020,Alberta,White goods,Non-residential sources of diverted materials,48,3656.0
2018,Alberta,Electronics,All sources of diverted materials,48,10111.0
2020,Alberta,Electronics,All sources of diverted materials,48,8600.0
2018,Alberta,Electronics,Residential sources of diverted materials,48,
2020,Alberta,Electronics,Residential sources of diverted materials,48,
2018,Alberta,Electronics,Non-residential sources of diverted materials,48,
2020,Alberta,Electronics,Non-residential sources of diverted materials,48,
2018,Alberta,Plastics,All sources of diverted materials,48,37086.0
2020,Alberta,Plastics,All sources of diverted materials,48,39461.0
2018,Alberta,Plastics,Residential sources of diverted materials,48,30266.0
2020,Alberta,Plastics,Residential sources of diverted materials,48,25969.0
2018,Alberta,Plastics,Non-residential sources of diverted materials,48,6820.0
2020,Alberta,Plastics,Non-residential sources of diverted materials,48,13492.0
2018,Alberta,Gable top and aseptic containers,All sources of diverted materials,48,
2020,Alberta,Gable top and aseptic containers,All sources of diverted materials,48,
2018,Alberta,Gable top and aseptic containers,Residential sources of diverted materials,48,
2020,Alberta,Gable top and aseptic containers,Residential sources of diverted materials,48,
2018,Alberta,Gable top and aseptic containers,Non-residential sources of diverted materials,48,
2020,Alberta,Gable top and aseptic containers,Non-residential sources of diverted materials,48,
2018,Alberta,Textiles,All sources of diverted materials,48,
2020,Alberta,Textiles,All sources of diverted materials,48,
2018,Alberta,Textiles,Residential sources of diverted materials,48,
2020,Alberta,Textiles,Residential sources of diverted materials,48,
2018,Alberta,Textiles,Non-residential sources of diverted materials,48,
2020,Alberta,Textiles,Non-residential sources of diverted materials,48,
2018,Alberta,Tires,All sources of diverted materials,48,67611.0
2020,Alberta,Tires,All sources of diverted materials,48,66461.0
2018,Alberta,Tires,Residential sources of diverted materials,48,
2020,Alberta,Tires,Residential sources of diverted materials,48,
2018,Alberta,Tires,Non-residential sources of diverted materials,48,
2020,Alberta,Tires,Non-residential sources of diverted materials,48,
2018,Alberta,"Construction, renovation and demolition",All sources of diverted materials,48,71041.0
2020,Alberta,"Construction, renovation and demolition",All sources of diverted materials,48,71884.0
2018,Alberta,"Construction, renovation and demolition",Residential sources of diverted materials,48,12408.0
2020,Alberta,"Construction, renovation and demolition",Residential sources of diverted materials,48,10818.0
2018,Alberta,"Construction, renovation and demolition",Non-residential sources of diverted materials,48,58633.0
2020,Alberta,"Construction, renovation and demolition",Non-residential sources of diverted materials,48,61066.0
2018,Alberta,Organics,All sources of diverted materials,48,322218.0
2020,Alberta,Organics,All sources of diverted materials,48,310623.0
2018,Alberta,Organics,Residential sources of diverted materials,48,238548.0
2020,Alberta,Organics,Residential sources of diverted materials,48,227712.0
2018,Alberta,Organics,Non-residential sources of diverted materials,48,83671.0
2020,Alberta,Organics,Non-residential sources of diverted materials,48,82911.0
2018,Alberta,Other materials,All sources of diverted materials,48,3769.0
2020,Alberta,Other materials,All sources of diverted materials,48,5094.0
2018,Alberta,Other materials,Residential sources of diverted materials,48,1887.0
2020,Alberta,Other materials,Residential sources of diverted materials,48,1695.0
2018,Alberta,Other materials,Non-residential sources of diverted materials,48,1882.0
2020,Alberta,Other materials,Non-residential sources of diverted materials,48,3399.0
2018,British Columbia,All materials diverted,All sources of diverted materials,59,1742710.0
2020,British Columbia,All materials diverted,All sources of diverted materials,59,1845493.0
2018,British Columbia,All materials diverted,Residential sources of diverted materials,59,
2020,British Columbia,All materials diverted,Residential sources of diverted materials,59,
2018,British Columbia,All materials diverted,Non-residential sources of diverted materials,59,
2020,British Columbia,All materials diverted,Non-residential sources of diverted materials,59,
2018,British Columbia,All paper fibres,All sources of diverted materials,59,553596.0
2020,British Columbia,All paper fibres,All sources of diverted materials,59,560304.0
2018,British Columbia,All paper fibres,Residential sources of diverted materials,59,119987.0
2020,British Columbia,All paper fibres,Residential sources of diverted materials,59,193020.0
2018,British Columbia,All paper fibres,Non-residential sources of diverted materials,59,433609.0
2020,British Columbia,All paper fibres,Non-residential sources of diverted materials,59,367284.0
2018,British Columbia,Glass,All sources of diverted materials,59,118109.0
2020,British Columbia,Glass,All sources of diverted materials,59,114921.0
2018,British Columbia,Glass,Residential sources of diverted materials,59,72748.0
2020,British Columbia,Glass,Residential sources of diverted materials,59,86888.0
2018,British Columbia,Glass,Non-residential sources of diverted materials,59,45361.0
2020,British Columbia,Glass,Non-residential sources of diverted materials,59,28033.0
2018,British Columbia,Ferrous metals,All sources of diverted materials,59,69254.0
2020,British Columbia,Ferrous metals,All sources of diverted materials,59,79273.0
2018,British Columbia,Ferrous metals,Residential sources of diverted materials,59,15997.0
2020,British Columbia,Ferrous metals,Residential sources of diverted materials,59,11532.0
2018,British Columbia,Ferrous metals,Non-residential sources of diverted materials,59,53257.0
2020,British Columbia,Ferrous metals,Non-residential sources of diverted materials,59,67741.0
2018,British Columbia,Copper and aluminum,All sources of diverted materials,59,24870.0
2020,British Columbia,Copper and aluminum,All sources of diverted materials,59,17088.0
2018,British Columbia,Copper and aluminum,Residential sources of diverted materials,59,3455.0
2020,British Columbia,Copper and aluminum,Residential sources of diverted materials,59,5887.0
2018,British Columbia,Copper and aluminum,Non-residential sources of diverted materials,59,21415.0
2020,British Columbia,Copper and aluminum,Non-residential sources of diverted materials,59,11200.0
2018,British Columbia,Mixed metals,All sources of diverted materials,59,54508.0
2020,British Columbia,Mixed metals,All sources of diverted materials,59,60466.0
2018,British Columbia,Mixed metals,Residential sources of diverted materials,59,32301.0
2020,British Columbia,Mixed metals,Residential sources of diverted materials,59,25480.0
2018,British Columbia,Mixed metals,Non-residential sources of diverted materials,59,22207.0
2020,British Columbia,Mixed metals,Non-residential sources of diverted materials,59,34985.0
2018,British Columbia,White goods,All sources of diverted materials,59,23983.0
2020,British Columbia,White goods,All sources of diverted materials,59,23038.0
2018,British Columbia,White goods,Residential sources of diverted materials,59,10740.0
2020,British Columbia,White goods,Residential sources of diverted materials,59,14901.0
2018,British Columbia,White goods,Non-residential sources of diverted materials,59,13243.0
2020,British Columbia,White goods,Non-residential sources of diverted materials,59,8137.0
2018,British Columbia,Electronics,All sources of diverted materials,59,16893.0
2020,British Columbia,Electronics,All sources of diverted materials,59,13928.0
2018,British Columbia,Electronics,Residential sources of diverted materials,59,
2020,British Columbia,Electronics,Residential sources of diverted materials,59,
2018,British Columbia,Electronics,Non-residential sources of diverted materials,59,
2020,British Columbia,Electronics,Non-residential sources of diverted materials,59,
2018,British Columbia,Plastics,All sources of diverted materials,59,68137.0
2020,British Columbia,Plastics,All sources of diverted materials,59,59290.0
2018,British Columbia,Plastics,Residential sources of diverted materials,59,31341.0
2020,British Columbia,Plastics,Residential sources of diverted materials,59,38270.0
2018,British Columbia,Plastics,Non-residential sources of diverted materials,59,36796.0
2020,British Columbia,Plastics,Non-residential sources of diverted materials,59,21020.0
2018,British Columbia,Gable top and aseptic containers,All sources of diverted materials,59,291.0
2020,British Columbia,Gable top and aseptic containers,All sources of diverted materials,59,2029.0
2018,British Columbia,Gable top and aseptic containers,Residential sources of diverted materials,59,53.0
2020,British Columbia,Gable top and aseptic containers,Residential sources of diverted materials,59,1794.0
2018,British Columbia,Gable top and aseptic containers,Non-residential sources of diverted materials,59,238.0
2020,British Columbia,Gable top and aseptic containers,Non-residential sources of diverted materials,59,234.0
2018,British Columbia,Textiles,All sources of diverted materials,59,1270.0
2020,British Columbia,Textiles,All sources of diverted materials,59,606.0
2018,British Columbia,Textiles,Residential sources of diverted materials,59,1270.0
2020,British Columbia,Textiles,Residential sources of diverted materials,59,606.0
2018,British Columbia,Textiles,Non-residential sources of diverted materials,59,0.0
2020,British Columbia,Textiles,Non-residential sources of diverted materials,59,0.0
2018,British Columbia,Tires,All sources of diverted materials,59,50230.0
2020,British Columbia,Tires,All sources of diverted materials,59,50266.0
2018,British Columbia,Tires,Residential sources of diverted materials,59,
2020,British Columbia,Tires,Residential sources of diverted materials,59,
2018,British Columbia,Tires,Non-residential sources of diverted materials,59,
2020,British Columbia,Tires,Non-residential sources of diverted materials,59,
2018,British Columbia,"Construction, renovation and demolition",All sources of diverted materials,59,123841.0
2020,British Columbia,"Construction, renovation and demolition",All sources of diverted materials,59,171640.0
2018,British Columbia,"Construction, renovation and demolition",Residential sources of diverted materials,59,40167.0
2020,British Columbia,"Construction, renovation and demolition",Residential sources of diverted materials,59,16609.0
2018,British Columbia,"Construction, renovation and demolition",Non-residential sources of diverted materials,59,83674.0
2020,British Columbia,"Construction, renovation and demolition",Non-residential sources of diverted materials,59,155031.0
2018,British Columbia,Organics,All sources of diverted materials,59,615683.0
2020,British Columbia,Organics,All sources of diverted materials,59,642986.0
2018,British Columbia,Organics,Residential sources of diverted materials,59,388632.0
2020,British Columbia,Organics,Residential sources of diverted materials,59,439156.0
2018,British Columbia,Organics,Non-residential sources of diverted materials,59,227051.0
2020,British Columbia,Organics,Non-residential sources of diverted materials,59,203830.0
2018,British Columbia,Other materials,All sources of diverted materials,59,22045.0
2020,British Columbia,Other materials,All sources of diverted materials,59,49659.0
2018,British Columbia,Other materials,Residential sources of diverted materials,59,17249.0
2020,British Columbia,Other materials,Residential sources of diverted materials,59,43155.0
2018,British Columbia,Other materials,Non-residential sources of diverted materials,59,4796.0
2020,British Columbia,Other materials,Non-residential sources of diverted materials,59,6503.0
2018,"Yukon, Northwest Territories and Nunavut",All materials diverted,All sources of diverted materials,,29319.0
2020,"Yukon, Northwest Territories and Nunavut",All materials diverted,All sources of diverted materials,,28820.0
2018,"Yukon, Northwest Territories and Nunavut",All materials diverted,Residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",All materials diverted,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",All materials diverted,Non-residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",All materials diverted,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",All paper fibres,All sources of diverted materials,,4900.0
2020,"Yukon, Northwest Territories and Nunavut",All paper fibres,All sources of diverted materials,,5378.0
2018,"Yukon, Northwest Territories and Nunavut",All paper fibres,Residential sources of diverted materials,,2128.0
2020,"Yukon, Northwest Territories and Nunavut",All paper fibres,Residential sources of diverted materials,,2148.0
2018,"Yukon, Northwest Territories and Nunavut",All paper fibres,Non-residential sources of diverted materials,,2772.0
2020,"Yukon, Northwest Territories and Nunavut",All paper fibres,Non-residential sources of diverted materials,,3230.0
2018,"Yukon, Northwest Territories and Nunavut",Glass,All sources of diverted materials,,286.0
2020,"Yukon, Northwest Territories and Nunavut",Glass,All sources of diverted materials,,302.0
2018,"Yukon, Northwest Territories and Nunavut",Glass,Residential sources of diverted materials,,249.0
2020,"Yukon, Northwest Territories and Nunavut",Glass,Residential sources of diverted materials,,209.0
2018,"Yukon, Northwest Territories and Nunavut",Glass,Non-residential sources of diverted materials,,37.0
2020,"Yukon, Northwest Territories and Nunavut",Glass,Non-residential sources of diverted materials,,93.0
2018,"Yukon, Northwest Territories and Nunavut",Ferrous metals,All sources of diverted materials,,8352.0
2020,"Yukon, Northwest Territories and Nunavut",Ferrous metals,All sources of diverted materials,,8192.0
2018,"Yukon, Northwest Territories and Nunavut",Ferrous metals,Residential sources of diverted materials,,2588.0
2020,"Yukon, Northwest Territories and Nunavut",Ferrous metals,Residential sources of diverted materials,,2664.0
2018,"Yukon, Northwest Territories and Nunavut",Ferrous metals,Non-residential sources of diverted materials,,5764.0
2020,"Yukon, Northwest Territories and Nunavut",Ferrous metals,Non-residential sources of diverted materials,,5528.0
2018,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,All sources of diverted materials,,272.0
2020,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,All sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,Residential sources of diverted materials,,269.0
2020,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,Non-residential sources of diverted materials,,3.0
2020,"Yukon, Northwest Territories and Nunavut",Copper and aluminum,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Mixed metals,All sources of diverted materials,,611.0
2020,"Yukon, Northwest Territories and Nunavut",Mixed metals,All sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Mixed metals,Residential sources of diverted materials,,109.0
2020,"Yukon, Northwest Territories and Nunavut",Mixed metals,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Mixed metals,Non-residential sources of diverted materials,,502.0
2020,"Yukon, Northwest Territories and Nunavut",Mixed metals,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",White goods,All sources of diverted materials,,114.0
2020,"Yukon, Northwest Territories and Nunavut",White goods,All sources of diverted materials,,189.0
2018,"Yukon, Northwest Territories and Nunavut",White goods,Residential sources of diverted materials,,103.0
2020,"Yukon, Northwest Territories and Nunavut",White goods,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",White goods,Non-residential sources of diverted materials,,11.0
2020,"Yukon, Northwest Territories and Nunavut",White goods,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Electronics,All sources of diverted materials,,260.0
2020,"Yukon, Northwest Territories and Nunavut",Electronics,All sources of diverted materials,,214.0
2018,"Yukon, Northwest Territories and Nunavut",Electronics,Residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",Electronics,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Electronics,Non-residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",Electronics,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Plastics,All sources of diverted materials,,611.0
2020,"Yukon, Northwest Territories and Nunavut",Plastics,All sources of diverted materials,,566.0
2018,"Yukon, Northwest Territories and Nunavut",Plastics,Residential sources of diverted materials,,501.0
2020,"Yukon, Northwest Territories and Nunavut",Plastics,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Plastics,Non-residential sources of diverted materials,,110.0
2020,"Yukon, Northwest Territories and Nunavut",Plastics,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,All sources of diverted materials,,48.0
2020,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,All sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,Residential sources of diverted materials,,47.0
2020,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,Non-residential sources of diverted materials,,1.0
2020,"Yukon, Northwest Territories and Nunavut",Gable top and aseptic containers,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Textiles,All sources of diverted materials,,56.0
2020,"Yukon, Northwest Territories and Nunavut",Textiles,All sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Textiles,Residential sources of diverted materials,,56.0
2020,"Yukon, Northwest Territories and Nunavut",Textiles,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Textiles,Non-residential sources of diverted materials,,0.0
2020,"Yukon, Northwest Territories and Nunavut",Textiles,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Tires,All sources of diverted materials,,1047.0
2020,"Yukon, Northwest Territories and Nunavut",Tires,All sources of diverted materials,,901.0
2018,"Yukon, Northwest Territories and Nunavut",Tires,Residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",Tires,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Tires,Non-residential sources of diverted materials,,
2020,"Yukon, Northwest Territories and Nunavut",Tires,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",All sources of diverted materials,,7864.0
2020,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",All sources of diverted materials,,7477.0
2018,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",Residential sources of diverted materials,,1966.0
2020,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",Residential sources of diverted materials,,1074.0
2018,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",Non-residential sources of diverted materials,,5898.0
2020,"Yukon, Northwest Territories and Nunavut","Construction, renovation and demolition",Non-residential sources of diverted materials,,6403.0
2018,"Yukon, Northwest Territories and Nunavut",Organics,All sources of diverted materials,,4601.0
2020,"Yukon, Northwest Territories and Nunavut",Organics,All sources of diverted materials,,4575.0
2018,"Yukon, Northwest Territories and Nunavut",Organics,Residential sources of diverted materials,,1950.0
2020,"Yukon, Northwest Territories and Nunavut",Organics,Residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Organics,Non-residential sources of diverted materials,,2651.0
2020,"Yukon, Northwest Territories and Nunavut",Organics,Non-residential sources of diverted materials,,
2018,"Yukon, Northwest Territories and Nunavut",Other materials,All sources of diverted materials,,297.0
2020,"Yukon, Northwest Territories and Nunavut",Other materials,All sources of diverted materials,,100.0
2018,"Yukon, Northwest Territories and Nunavut",Other materials,Residential sources of diverted materials,,297.0
2020,"Yukon, Northwest Territories and Nunavut",Other materials,Residential sources of diverted materials,,70.0
2018,"Yukon, Northwest Territories and Nunavut",Other materials,Non-residential sources of diverted materials,,0.0
2020,"Yukon, Northwest Territories and Nunavut",Other materials,Non-residential sources of diverted materials,,30.0
