Year,Series,Units,Services de base,Sources des déchets à des fins d'élimination,Niveau de compétence,Sexe,Géographie,GeoCode,Value
2016,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants de 4e année atteignant au moins un niveau minimum de compétence en lecture,Total,,,95.6
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en lecture,Femme,,,90.4
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en lecture,Homme,,,82.1
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en lecture,Total,,,86.3
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Femme,,,83.9
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Homme,,,83.6
2018,Accès à l'éducation de base,Pourcentage (%),,,Proportion d’enfants et de jeunes à la fin du premier cycle du secondaire atteignant au moins un niveau minimum de compétence en mathématiques,Total,,,83.7
2016,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.47
2017,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.49
2018,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.48
2019,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.53
2020,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.45
2021,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.5
2022,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’accès haute vitesse évolué par paquets (HSPA+),,,,,,99.57
2016,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,83.35
2017,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,92.43
2018,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,94.9
2019,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,95.86
2020,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,97.45
2021,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,97.82
2022,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme - A (LTE-A),,,,,,97.8
2016,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,98.55
2017,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.14
2018,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.3
2019,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.48
2020,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.53
2021,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.42
2022,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par l’évolution à long terme (LTE),,,,,,99.47
2020,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par la 5G,,,,,,53.27
2021,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par la 5G,,,,,,87.78
2022,Accès aux services d’information de base,Pourcentage (%),Proportion de la population couverte par la 5G,,,,,,91.4
